Date_UTC,IAGA,MLT,MLAT,IGRF_DECL,N,E,Z
2001-04-03 08:27:00,FCC,1.75,68.97,-1.10,-9.1,2.2,29.1
2001-04-03 08:27:00,GIM,1.72,66.67,0.77,-40.5,11.2,36.3
2001-04-03 08:27:00,PIN,1.64,60.56,3.84,-1.0,-16.0,17.3
2001-04-03 08:27:00,RAN,1.90,72.89,-7.77,16.7,14.4,10.7
2001-04-03 08:27:00,TAL,1.52,78.86,-17.12,18.2,19.4,-5.7
2001-04-03 08:28:00,BLC,1.43,73.96,-1.39,12.2,12.4,21.9
2001-04-03 08:28:00,BSL,2.31,41.39,0.72,-8.9,3.3,8.1
2001-04-03 08:28:00,DLR,1.37,38.98,7.38,-10.0,2.5,7.5
2001-04-03 08:28:00,EKP,1.73,71.17,-2.61,39.8,-9.2,39.2
2001-04-03 08:28:00,FCC,1.76,68.97,-1.10,-12.0,-1.0,22.2
2001-04-03 08:28:00,GIM,1.73,66.67,0.77,-26.3,13.8,27.8
2001-04-03 08:28:00,PIN,1.65,60.56,3.84,-0.1,-15.2,18.1
2001-04-03 08:28:00,RAN,1.91,72.89,-7.77,14.3,13.0,10.1
2001-04-03 08:28:00,TAL,1.53,78.86,-17.12,16.8,20.6,-5.3
2001-04-03 08:29:00,BLC,1.45,73.96,-1.39,13.2,13.3,19.8
2001-04-03 08:29:00,BSL,2.33,41.39,0.72,-8.9,3.3,8.2
2001-04-03 08:29:00,DLR,1.38,38.98,7.38,-10.0,2.5,7.5
2001-04-03 08:29:00,EKP,1.74,71.17,-2.61,37.2,-6.9,44.4
2001-04-03 08:29:00,FCC,1.78,68.97,-1.10,-19.9,-0.3,22.4
2001-04-03 08:29:00,GIM,1.75,66.67,0.77,-32.9,10.7,27.1
2001-04-03 08:29:00,PIN,1.67,60.56,3.84,0.2,-15.6,18.0
2001-04-03 08:29:00,RAN,1.93,72.89,-7.77,14.5,12.9,13.1
2001-04-03 08:29:00,TAL,1.55,78.86,-17.12,17.6,20.6,-5.9
2001-04-03 08:30:00,BLC,1.46,73.96,-1.39,13.2,12.0,16.7
2001-04-03 08:30:00,BSL,2.35,41.39,0.72,-8.9,3.3,8.2
2001-04-03 08:30:00,DLR,1.40,38.98,7.38,-10.1,2.5,7.5
2001-04-03 08:30:00,EKP,1.76,71.17,-2.61,39.1,-6.4,42.0
2001-04-03 08:30:00,FCC,1.80,68.97,-1.10,-15.9,1.6,27.5
2001-04-03 08:30:00,GIM,1.77,66.67,0.77,-30.8,12.6,26.0
2001-04-03 08:30:00,PIN,1.69,60.56,3.84,-0.1,-15.2,17.9
2001-04-03 08:30:00,RAN,1.95,72.89,-7.77,15.6,10.5,12.5
2001-04-03 08:30:00,TAL,1.57,78.86,-17.12,16.4,18.5,-5.9
2001-04-03 08:31:00,BLC,1.48,73.96,-1.39,13.3,9.8,14.7
2001-04-03 08:31:00,BSL,2.36,41.39,0.72,-8.9,3.3,8.2
2001-04-03 08:31:00,DLR,1.42,38.98,7.38,-9.1,2.4,7.5
2001-04-03 08:31:00,EKP,1.78,71.17,-2.61,36.4,-5.5,39.2
2001-04-03 08:31:00,FCC,1.81,68.97,-1.10,-12.8,1.4,22.7
2001-04-03 08:31:00,GIM,1.78,66.67,0.77,-24.0,12.9,24.4
2001-04-03 08:31:00,PIN,1.70,60.56,3.84,0.4,-15.6,18.1
2001-04-03 08:31:00,RAN,1.96,72.89,-7.77,14.2,9.1,14.0
2001-04-03 08:31:00,TAL,1.58,78.86,-17.12,15.7,18.0,-6.1
2001-04-03 08:32:00,BLC,1.50,73.96,-1.39,14.4,8.7,12.6
2001-04-03 08:32:00,BSL,2.38,41.39,0.72,-8.9,2.6,8.2
2001-04-03 08:32:00,DLR,1.43,38.98,7.38,-9.1,2.4,7.5
2001-04-03 08:32:00,EKP,1.79,71.17,-2.61,35.6,-5.2,36.8
2001-04-03 08:32:00,FCC,1.83,68.97,-1.10,-10.8,2.3,20.8
2001-04-03 08:32:00,GIM,1.80,66.67,0.77,-22.6,12.8,24.0
2001-04-03 08:32:00,PIN,1.72,60.56,3.84,0.3,-15.7,17.8
2001-04-03 08:32:00,RAN,1.98,72.89,-7.77,13.8,8.2,15.9
2001-04-03 08:32:00,TAL,1.60,78.86,-17.12,15.6,18.4,-6.9
2001-04-03 08:33:00,BLC,1.51,73.96,-1.39,15.5,6.5,12.6
2001-04-03 08:33:00,BSL,2.40,41.39,0.72,-9.0,2.6,8.2
2001-04-03 08:33:00,DLR,1.45,38.98,7.38,-9.1,2.4,7.5
2001-04-03 08:33:00,EKP,1.81,71.17,-2.61,32.9,-5.4,35.9
2001-04-03 08:33:00,FCC,1.85,68.97,-1.10,-10.8,2.1,18.0
2001-04-03 08:33:00,GIM,1.82,66.67,0.77,-18.9,13.9,22.2
2001-04-03 08:33:00,PIN,1.74,60.56,3.84,0.6,-15.6,18.0
2001-04-03 08:33:00,RAN,2.00,72.89,-7.77,12.6,8.0,19.1
2001-04-03 08:33:00,TAL,1.62,78.86,-17.12,15.1,18.4,-7.6
2001-04-03 08:34:00,BLC,1.53,73.96,-1.39,15.6,4.3,9.5
2001-04-03 08:34:00,BSL,2.41,41.39,0.72,-9.0,3.3,8.2
2001-04-03 08:34:00,DLR,1.47,38.98,7.38,-9.2,2.4,7.5
2001-04-03 08:34:00,EKP,1.83,71.17,-2.61,34.3,-6.5,34.7
2001-04-03 08:34:00,FCC,1.86,68.97,-1.10,-9.7,2.9,18.2
2001-04-03 08:34:00,GIM,1.83,66.67,0.77,-19.6,14.1,21.0
2001-04-03 08:34:00,PIN,1.76,60.56,3.84,0.6,-15.6,18.0
2001-04-03 08:34:00,RAN,2.02,72.89,-7.77,12.0,6.7,20.8
2001-04-03 08:34:00,TAL,1.63,78.86,-17.12,14.3,17.5,-8.1
2001-04-03 08:35:00,BLC,1.55,73.96,-1.39,15.6,2.1,8.4
2001-04-03 08:35:00,BSL,2.43,41.39,0.72,-9.0,3.3,8.2
2001-04-03 08:35:00,DLR,1.48,38.98,7.38,-9.2,2.4,7.5
2001-04-03 08:35:00,EKP,1.84,71.17,-2.61,34.2,-6.8,32.5
2001-04-03 08:35:00,FCC,1.88,68.97,-1.10,-6.7,3.8,18.4
2001-04-03 08:35:00,GIM,1.85,66.67,0.77,-17.5,15.2,18.6
2001-04-03 08:35:00,PIN,1.77,60.56,3.84,0.8,-15.4,18.2
2001-04-03 08:35:00,RAN,2.03,72.89,-7.77,10.7,6.9,22.2
2001-04-03 08:35:00,TAL,1.65,78.86,-17.12,13.7,17.5,-8.9
